id,long,lat
833,115.25,-28.85
834,115.25,-28.9
835,115.25,-28.95
836,115.25,-29
837,115.25,-29.05
838,115.25,-29.1
839,115.25,-29.15
840,115.25,-29.2
841,115.25,-29.25
842,115.25,-29.3
843,115.25,-29.35
844,115.25,-29.4
845,115.25,-29.45
846,115.25,-29.5
847,115.25,-29.55
848,115.25,-29.6
849,115.25,-29.65
850,115.25,-29.7
851,115.25,-29.75
852,115.25,-29.8
853,115.25,-29.85
854,115.25,-29.9
855,115.25,-29.95
856,115.25,-30
857,115.25,-30.05
858,115.25,-30.1
859,115.25,-30.15
860,115.25,-30.2
861,115.25,-30.25
862,115.25,-30.3
863,115.25,-30.35
864,115.25,-30.4
865,115.25,-30.45
866,115.25,-30.5
867,115.25,-30.55
868,115.25,-30.6
869,115.25,-30.65
870,115.25,-30.7
871,115.25,-30.75
872,115.25,-30.8
873,115.25,-30.85
874,115.3,-27.55
875,115.3,-27.6
876,115.3,-27.65
877,115.3,-27.7
878,115.3,-27.75
879,115.3,-27.8
880,115.3,-27.85
881,115.3,-27.9
882,115.3,-27.95
883,115.3,-28
884,115.3,-28.05
885,115.3,-28.1
886,115.3,-28.15
887,115.3,-28.2
888,115.3,-28.25
889,115.3,-28.3
890,115.3,-28.35
891,115.3,-28.4
892,115.3,-28.45
893,115.3,-28.5
894,115.3,-28.55
895,115.3,-28.6
896,115.3,-28.65
897,115.3,-28.7
898,115.3,-28.75
899,115.3,-28.8
900,115.3,-28.85
901,115.3,-28.9
902,115.3,-28.95
903,115.3,-29
904,115.3,-29.05
905,115.3,-29.1
906,115.3,-29.15
907,115.3,-29.2
908,115.3,-29.25
909,115.3,-29.3
910,115.3,-29.35
911,115.3,-29.4
912,115.3,-29.45
913,115.3,-29.5
914,115.3,-29.55
915,115.3,-29.6
916,115.3,-29.65
917,115.3,-29.7
918,115.3,-29.75
919,115.3,-29.8
920,115.3,-29.85
921,115.3,-29.9
922,115.3,-29.95
923,115.3,-30
924,115.3,-30.05
925,115.3,-30.1
926,115.3,-30.15
927,115.3,-30.2
928,115.3,-30.25
929,115.3,-30.3
930,115.3,-30.35
931,115.3,-30.4
932,115.3,-30.45
933,115.3,-30.5
934,115.3,-30.55
935,115.3,-30.6
936,115.3,-30.65
937,115.3,-30.7
938,115.3,-30.75
939,115.3,-30.8
940,115.3,-30.85
941,115.3,-30.9
942,115.3,-30.95
943,115.35,-27.6
944,115.35,-27.65
945,115.35,-27.85
946,115.35,-27.9
947,115.35,-27.95
948,115.35,-28
949,115.35,-28.05
950,115.35,-28.1
951,115.35,-28.15
952,115.35,-28.2
953,115.35,-28.25
954,115.35,-28.3
955,115.35,-28.35
956,115.35,-28.4
957,115.35,-28.45
958,115.35,-28.5
959,115.35,-28.55
960,115.35,-28.6
961,115.35,-28.65
962,115.35,-28.7
963,115.35,-28.75
964,115.35,-28.8
965,115.35,-28.85
966,115.35,-28.9
967,115.35,-28.95
968,115.35,-29
969,115.35,-29.05
970,115.35,-29.1
971,115.35,-29.15
972,115.35,-29.2
973,115.35,-29.25
974,115.35,-29.3
975,115.35,-29.35
976,115.35,-29.4
977,115.35,-29.45
978,115.35,-29.5
979,115.35,-29.55
980,115.35,-29.6
981,115.35,-29.65
982,115.35,-29.7
983,115.35,-29.75
984,115.35,-29.8
985,115.35,-29.85
986,115.35,-29.9
987,115.35,-29.95
988,115.35,-30
989,115.35,-30.05
990,115.35,-30.1
991,115.35,-30.15
992,115.35,-30.2
993,115.35,-30.25
994,115.35,-30.3
995,115.35,-30.35
996,115.35,-30.4
997,115.35,-30.45
998,115.35,-30.5
999,115.35,-30.55
1000,115.35,-30.6
1001,115.35,-30.65
1002,115.35,-30.7
1003,115.35,-30.75
1004,115.35,-30.8
1005,115.35,-30.85
1006,115.35,-30.9
1007,115.35,-30.95
1008,115.35,-31
1009,115.35,-31.05
1010,115.4,-27.6
1011,115.4,-27.65
1012,115.4,-27.95
1013,115.4,-28
1014,115.4,-28.05
1015,115.4,-28.1
1016,115.4,-28.15
1017,115.4,-28.2
1018,115.4,-28.25
1019,115.4,-28.3
1020,115.4,-28.35
1021,115.4,-28.4
1022,115.4,-28.45
1023,115.4,-28.5
1024,115.4,-28.55
1025,115.4,-28.6
1026,115.4,-28.65
1027,115.4,-28.7
1028,115.4,-28.75
1029,115.4,-28.8
1030,115.4,-28.85
1031,115.4,-28.9
1032,115.4,-28.95
1033,115.4,-29
1034,115.4,-29.05
1035,115.4,-29.1
1036,115.4,-29.15
1037,115.4,-29.2
1038,115.4,-29.25
1039,115.4,-29.3
1040,115.4,-29.35
1041,115.4,-29.4
1042,115.4,-29.45
1043,115.4,-29.5
1044,115.4,-29.55
1045,115.4,-29.6
1046,115.4,-29.65
1047,115.4,-29.7
1048,115.4,-29.75
1049,115.4,-29.8
1050,115.4,-29.85
1051,115.4,-29.9
1052,115.4,-29.95
1053,115.4,-30
1054,115.4,-30.05
1055,115.4,-30.1
1056,115.4,-30.15
1057,115.4,-30.2
1058,115.4,-30.25
1059,115.4,-30.3
1060,115.4,-30.35
1061,115.4,-30.4
1062,115.4,-30.45
1063,115.4,-30.5
1064,115.4,-30.55
1065,115.4,-30.6
1066,115.4,-30.65
1067,115.4,-30.7
1068,115.4,-30.75
1069,115.4,-30.8
1070,115.4,-30.85
1071,115.4,-30.9
1072,115.4,-30.95
1073,115.4,-31
1074,115.4,-31.05
1075,115.4,-31.1
1076,115.4,-31.15
1077,115.45,-27.95
1078,115.45,-28
1079,115.45,-28.05
1080,115.45,-28.1
1081,115.45,-28.15
1082,115.45,-28.2
1083,115.45,-28.25
1084,115.45,-28.3
1085,115.45,-28.35
1086,115.45,-28.4
1087,115.45,-28.45
1088,115.45,-28.5
1089,115.45,-28.55
1090,115.45,-28.6
1091,115.45,-28.65
1092,115.45,-28.7
1093,115.45,-28.75
1094,115.45,-28.8
1095,115.45,-28.85
1096,115.45,-28.9
1097,115.45,-28.95
1098,115.45,-29
1099,115.45,-29.05
1100,115.45,-29.1
1101,115.45,-29.15
1102,115.45,-29.2
1103,115.45,-29.25
1104,115.45,-29.3
1105,115.45,-29.35
1106,115.45,-29.4
1107,115.45,-29.45
1108,115.45,-29.5
1109,115.45,-29.55
1110,115.45,-29.6
1111,115.45,-29.65
1112,115.45,-29.7
1113,115.45,-29.75
1114,115.45,-29.8
1115,115.45,-29.85
1116,115.45,-29.9
1117,115.45,-29.95
1118,115.45,-30
1119,115.45,-30.05
1120,115.45,-30.1
1121,115.45,-30.15
1122,115.45,-30.2
1123,115.45,-30.25
1124,115.45,-30.3
1125,115.45,-30.35
1126,115.45,-30.4
1127,115.45,-30.45
1128,115.45,-30.5
1129,115.45,-30.55
1130,115.45,-30.6
1131,115.45,-30.65
